Class,Image URL,Sentence
Airplane,https://farm6.staticflickr.com/5350/8838197946_a6610b76dd_z.jpg,a commercial airplane flying through the sky during the day.
Airplane,https://farm8.staticflickr.com/7201/6879489797_fa772d8a69_z.jpg,an airplane is sitting alongside maintenance trucks and being refueled.
Airplane,https://farm6.staticflickr.com/5162/5235856963_8057b865c5_z.jpg,continental airlines flight taking off from airport runway.
Airplane,https://farm7.staticflickr.com/6078/6133084133_a416038e3e_z.jpg,a line up of red military planes for the royal air force
Airplane,https://farm9.staticflickr.com/8040/8021823872_7b11219171_z.jpg,an asiana airlines plane taxiing at an airport.
Airplane,https://farm6.staticflickr.com/5311/7088773131_f5be3ed152_z.jpg,airplane transporting space shuttle through the cloudy sky.
Airplane,https://farm8.staticflickr.com/7155/6815800717_e58b663dbe_z.jpg,a propeller plane flying through a blue sky.
Airplane,https://farm6.staticflickr.com/5002/5237898602_dd2f97e21c_z.jpg,a plane with its wheels down while rising into the sky.
Airplane,https://farm4.staticflickr.com/3673/8854047270_0d342f1761_z.jpg,a small aircraft sitting on a runway during the day
Airplane,https://farm5.staticflickr.com/4072/4314279833_4ebd34dcfb_z.jpg,a big continental airplane taking off in a field
Airplane,https://farm6.staticflickr.com/5303/5798518576_0c78f35ca6_z.jpg,a large blue jetliner sitting on top of an airport runway.
Airplane,https://farm6.staticflickr.com/5229/5670536029_1779c594b8_z.jpg,a plane taking off from a runway with a city in the background.
Airplane,https://farm8.staticflickr.com/7118/7752812858_8fc6e5e688_z.jpg,the plane is white and is on the tarmac not moving
Airplane,https://farm5.staticflickr.com/4149/4995465294_5ab30a87ac_z.jpg,one plane flies upside down over another plane
Airplane,https://farm4.staticflickr.com/3339/5748746426_9e962fab51_z.jpg,a large propeller airplane flying through the sky.
Airplane,https://farm5.staticflickr.com/4087/5215433169_8f3edb5c5f_z.jpg,a small yellow plane sitting on top of an airport runway.
Airplane,https://farm8.staticflickr.com/7018/6751194717_0cabbdf4cf_z.jpg,an iberia airline jet sitting on a runway at night.
Airplane,https://farm9.staticflickr.com/8092/8526240454_2606a13acc_z.jpg,a small airplane is flying in the sky over trees.
Airplane,https://farm9.staticflickr.com/8357/8396156174_fb201b9416_z.jpg,a buddha air prop plane is taking off from a runway.
Airplane,https://farm9.staticflickr.com/8163/7709681102_738babd08e_z.jpg,a large jetliner flying in the sky with four jet engines.
Airplane,https://farm5.staticflickr.com/4103/5013715121_a2da72a2de_z.jpg,a plane on the tarmac on a wet cloudy day.
Airplane,https://farm6.staticflickr.com/5082/5329411397_8302b0936c_z.jpg,a small red and white train sitting in the field
Airplane,https://farm4.staticflickr.com/3779/9302492620_e5fa738f19_z.jpg,a red and white jet airliner with group moving about in front.
Airplane,https://farm7.staticflickr.com/6044/5864662127_b3aed82e65_z.jpg,a commercial passenger jet with smoke coming from landing wheels.
Airplane,https://farm7.staticflickr.com/6016/5920646386_4dee4b2c5c_z.jpg,a jumbo jet plane ascending from a runway into the sky.
Airplane,https://farm9.staticflickr.com/8171/8001014105_c96c378a40_z.jpg,a red airplane sitting on the tarmac at the airport
Airplane,https://farm7.staticflickr.com/6163/6147816182_76b5d128b0_z.jpg,airplane at airport terminal getting ready to arrive or depart.
Airplane,https://farm8.staticflickr.com/7138/7733426730_d18e4e4154_z.jpg,a commercial passenger airplane sitting on the landing strip by the terminal.
Airplane,https://farm8.staticflickr.com/7031/6670197999_0a6bba187f_z.jpg,an airplane flies through a sunsetting sky.
Airplane,https://farm7.staticflickr.com/6007/5907676749_648a821a96_z.jpg,a swiss airlines plane is flying above snowy mountains.
Airplane,https://farm8.staticflickr.com/7071/7002941052_46f933d5cd_z.jpg,a large passenger plane is flying in a cloudy sky.
Airplane,https://farm9.staticflickr.com/8223/8341051577_133af4130e_z.jpg,the twin engine airliner is being towed on the runway.
Airplane,https://farm7.staticflickr.com/6146/6013157062_60df46536a_z.jpg,a passenger jumbo jet taxiing at an airport.
Airplane,https://farm9.staticflickr.com/8513/8358609477_2aae445c64_z.jpg,a white jet airliner on runway next to docking area.
Airplane,https://farm5.staticflickr.com/4112/5058636538_067d712514_z.jpg,a large passenger airline descends through the air into landing.
Airplane,https://farm3.staticflickr.com/2348/2353320929_7673666e26_z.jpg,the airplane is flying low over the water.
Airplane,https://farm5.staticflickr.com/4124/4982208891_224cf6033c_z.jpg,white and blue airplane flying in a grey sky.
Airplane,https://farm5.staticflickr.com/4085/5196259005_b08cf1ceef_z.jpg,two passenger jets are on the tarmac by the airport.
Airplane,https://farm7.staticflickr.com/6115/6218978433_0f90cb123b_z.jpg,a brown and white spotted crop plane on display.
Airplane,https://farm6.staticflickr.com/5345/8785854876_a0a9439a7d_z.jpg,a large passenger jet flying through a cloudy sky.
Airplane,https://farm8.staticflickr.com/7056/6973336251_1b662900d0_z.jpg,a commercial airliner has just taken off from the runway.
Airplane,https://farm7.staticflickr.com/6209/6152613149_c05b6fe9d4_z.jpg,a blue and white airplane in the blue sky
Airplane,https://farm9.staticflickr.com/8078/8398814783_6c0a17ccaf_z.jpg,kenya airways airplane wing engine and cabin on the tarmac
Airplane,https://farm7.staticflickr.com/6189/6131625666_a483dee64a_z.jpg,a tam jumbo jet lies dormant on a runway
Airplane,https://farm9.staticflickr.com/8111/8467891475_eb5b88871a_z.jpg,a airplane that is on a large runway
Airplane,https://farm6.staticflickr.com/5235/7382342842_ce3ec4c4d8_z.jpg,an airplane is flying across the sky leaving a trail of smoke.
Airplane,https://farm6.staticflickr.com/5307/5662423277_601555cdc3_z.jpg,a british airways plane in the sky with it's landing gear fully extended.
Airplane,https://farm5.staticflickr.com/4107/4989129726_abb1f3585d_z.jpg,a man standing on a step ladder working on a small airplane on the runway.
Airplane,https://farm9.staticflickr.com/8445/7885061548_4bb63c56b3_z.jpg,a bright blue jumbo jet coming in for a landing.
Airplane,https://farm4.staticflickr.com/3293/5781000451_24d59461bf_z.jpg,a large blue and white airplane on an airport runway.
Elephant,https://farm9.staticflickr.com/8282/7586273416_03eddc537b_z.jpg,a mother elephant and her calf grazing in an enclosure.
Elephant,https://farm6.staticflickr.com/5141/5725614600_c14c21b438_z.jpg,a large and small elephant in an enclosed area with water tree logs and rock formations.
Elephant,https://farm5.staticflickr.com/4097/4886272319_5ccd3b9b3a_z.jpg,an elephant standing near a large rock and trees
Elephant,https://farm6.staticflickr.com/5218/5397904025_82b148fbe7_z.jpg,an elephant looking down while standing in a zoo.
Elephant,https://farm3.staticflickr.com/2404/2514703670_38b417aaf5_z.jpg,a baby elephant plays in the water next to an adult one
Elephant,https://farm9.staticflickr.com/8451/8049228445_3173b6d78b_z.jpg,a herd of elephants of different sizes walking around by some water
Elephant,https://farm4.staticflickr.com/3164/2465428882_5262986b7b_z.jpg,an elephant standing behind a fence on a grassy field.
Elephant,https://farm3.staticflickr.com/2860/9288003328_289cee4308_z.jpg,a mother elephant and her calf walking through tall grass.
Elephant,https://farm2.staticflickr.com/1010/4721215766_0cbfa8f6b4_z.jpg,two baby elephants standing beside an adult elephant.
Elephant,https://farm6.staticflickr.com/5209/5330958631_bf158ca37c_z.jpg,a large elephant and a smaller elephant together in the trees and bushes.
Elephant,https://farm4.staticflickr.com/3634/3601308726_a72c179d0c_z.jpg,three adult elephants and a baby taking a bath
Elephant,https://farm5.staticflickr.com/4120/4777628191_bd82da07de_z.jpg,a large elephant has its trunk curled inward.
Elephant,https://farm3.staticflickr.com/2865/8808166535_0f9c9acaa4_z.jpg,an baby elephant is nudged by an older elephant in front of a stilt house.
Elephant,https://farm4.staticflickr.com/3347/3519885105_cd78ef078d_z.jpg,giraffes and elephants gather next to the water to drink.
Elephant,https://farm7.staticflickr.com/6161/6226939606_406fa76470_z.jpg,a tusked elephant and its young bathe in a river
Elephant,https://farm9.staticflickr.com/8315/8027304794_15cba615b3_z.jpg,two huge elephants stand in a large fenced in area.
Elephant,https://farm6.staticflickr.com/5094/5508597759_5b00acdf7c_z.jpg,two adult elephants and a child elephant walking in the woods.
Elephant,https://farm6.staticflickr.com/5277/5897097010_8efb691563_z.jpg,two bull elephants getting ready to spar on the savana.
Elephant,https://farm8.staticflickr.com/7395/9323573554_e73032d538_z.jpg,an elephant walking away from some other elephants
Elephant,https://farm5.staticflickr.com/4084/5034033340_9b5c365ca8_z.jpg,a young elephant raises its trunk while walking.
Elephant,https://farm8.staticflickr.com/7278/7843849762_1dfa397b2b_z.jpg,an elephant walking around in the dirt on a sunny day.
Elephant,https://farm7.staticflickr.com/6038/6313073894_de44124a26_z.jpg,an elephant with dried out skin standing by a shrubbery.
Elephant,https://farm5.staticflickr.com/4153/5224548949_d04cb69bac_z.jpg,an elephant and it's child walking side by side near a forest of palm trees.
Elephant,https://farm8.staticflickr.com/7011/6584512589_6d79f1b969_z.jpg,a tall brown elephant walking through a lush green field.
Elephant,https://farm5.staticflickr.com/4044/5169155344_bb260bc63f_z.jpg,a baby elephant walks between the legs of its mother.
Elephant,https://farm8.staticflickr.com/7130/6974703378_eb531dd066_z.jpg,a group of elephants being led into the water.
Elephant,https://farm1.staticflickr.com/79/280060383_d4602ea95c_z.jpg,an elephant with tusks walking in the water with trees and bushes behind it.
Elephant,https://farm9.staticflickr.com/8196/8388246491_fd92ccd50f_z.jpg,a gray elephant stands up to his thighs in a river.
Elephant,https://farm5.staticflickr.com/4129/4964123874_a200cc5593_z.jpg,a baby elephant walking through a shallow pool of flowing water
Elephant,https://farm5.staticflickr.com/4153/4834333706_41a41b515d_z.jpg,a very big bull elephant walking through some thick brush.
Elephant,https://farm6.staticflickr.com/5066/5624728626_d30796faee_z.jpg,two elephants facing each other touching trunks in an enclosure.
Elephant,https://farm2.staticflickr.com/1319/5155093236_01067e4f6e_z.jpg,two elephants walk in an open savanna with dried grass.
Elephant,https://farm7.staticflickr.com/6098/6853855920_2bf431bf19_z.jpg,two elephants are pushing a metal barrel around.
Elephant,https://farm3.staticflickr.com/2876/9228497719_71b19dc1a4_z.jpg,mother elephant nurturing her baby at the zoo
Elephant,https://farm7.staticflickr.com/6129/5948106687_7f1f46bfb4_z.jpg,a lone elephant walking between piles of dirt.
Elephant,https://farm7.staticflickr.com/6126/6025173518_16524cb129_z.jpg,a herd of elephants with babies at the water's edge
Elephant,https://farm5.staticflickr.com/4116/4792135030_d903c354d6_z.jpg,an elephant standing behind a group of tall weeds in a field.
Elephant,https://farm5.staticflickr.com/4070/4687849537_cd82b9f7ed_z.jpg,an elephant investigating the dirt road in his compound
Elephant,https://farm9.staticflickr.com/8066/8237787700_02ee5aa91b_z.jpg,a group of elephants bathing in a river and walking on a shore line.
Elephant,https://farm5.staticflickr.com/4078/4891646053_8f93cbf05d_z.jpg,an adult and baby elephant forage for food in a leafy bush.
Elephant,https://farm6.staticflickr.com/5176/5538174090_67f4f23393_z.jpg,a baby elephant snuggles into an adult elephant out on a grassy plain.
Elephant,https://farm3.staticflickr.com/2511/3917206294_866628197d_z.jpg,a herd of elephants walking across a field next to a zebra.
Elephant,https://farm9.staticflickr.com/8332/8105239034_aa423e56c9_z.jpg,an adult elephant sheltering over a baby elephant in a field.
Elephant,https://farm5.staticflickr.com/4084/5095791421_afe905d181_z.jpg,herd of elephants with a young one in front with it's trunk uplifted.
Elephant,https://farm9.staticflickr.com/8204/8261315290_5380194d03_z.jpg,an elephant moving aside tree branches to eat leaves off of the branches with it's trunk.
Elephant,https://farm9.staticflickr.com/8065/8228252004_a2a5e58edb_z.jpg,two side by side elephants (one with a trunk full of grass) are enjoying a water spray.
Elephant,https://farm4.staticflickr.com/3614/3679553663_2f4a5e7ba4_z.jpg,an elephant moves about in a grassy field
